Territory,Variable,n,nmiss,mean,sd,min,max,iqr
 Fizi,victimproplost,340,209,0.8470588235294118,0.36046126964358616,0,1,0
 Fizi,victimfamlost,340,209,0.5882352941176471,0.4928783115730365,0,1,1
 Fizi,acledviolence10,410,139,4.8951219512195125,5.101054650025693,1,14,10
 Kabare/Bagira,victimproplost,50,72,0.44,0.501426536422407,0,1,1
 Kabare/Bagira,victimfamlost,50,72,0.12,0.32826072265931594,0,1,0
 Kabare/Bagira,acledviolence10,122,0,7.265541846634911,1.757146779863755,4,9,3.7272729873657227
 Uvira,victimproplost,140,78,0.7,0.45990302387232296,0,1,1
 Uvira,victimfamlost,140,78,0.39285714285714285,0.49013914587871193,0,1,1
 Uvira,acledviolence10,218,0,9.846746847170209,2.770705414001018,5,14,4
Overall,victimproplost,530,359,0.769811320754717,0.42135119121301484,0,1,0
Overall,victimfamlost,530,359,0.49245283018867925,0.5004153498299908,0,1,1
Overall,acledviolence10,750,139,6.719982557296753,4.6528230400045585,1,14,9
